"Plot Title: LUXarriba_04"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10801151, SEN S/N: 10801151)","Intensity, Lux (LGR S/N: 10801151, SEN S/N: 10801151)","Bad Battery (LGR S/N: 10801151)","Coupler Attached (LGR S/N: 10801151)","Host Connected (LGR S/N: 10801151)","Stopped (LGR S/N: 10801151)","End Of File (LGR S/N: 10801151)"
402,10/24/21 05:00:00 PM,10.063,6200.0,,,,,
403,10/24/21 05:15:00 PM,8.481,1722.2,,,,,
404,10/24/21 05:30:00 PM,7.782,1011.8,,,,,
405,10/24/21 05:45:00 PM,7.381,204.5,,,,,
406,10/24/21 06:00:00 PM,6.775,32.3,,,,,
407,10/24/21 06:15:00 PM,6.166,0.0,,,,,
408,10/24/21 06:30:00 PM,6.166,0.0,,,,,
409,10/24/21 06:45:00 PM,5.757,0.0,,,,,
410,10/24/21 07:00:00 PM,5.450,0.0,,,,,
411,10/24/21 07:15:00 PM,5.347,0.0,,,,,
412,10/24/21 07:30:00 PM,4.623,0.0,,,,,
413,10/24/21 07:45:00 PM,4.207,0.0,,,,,
414,10/24/21 08:00:00 PM,4.102,0.0,,,,,
