Device Name:,,OM-CP-VOLT101A,,,,,,,,,
Device Description:,,Voltage Data Logger,,,,,,,,,
Serial Number:,,R37297,,,,,,,,,
Device ID:,,SynopticOld,,,,,,,,,
,,,,,,,,,,,
,,Channel 1,,,,,,,,,
Date,Time,Voltage (ppm),Tract,Description,Point,lat,lon,elev,WS,Notes,Notes_2
7/5/2021,1:13:45 PM,2635,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
7/5/2021,1:13:50 PM,2656,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
7/5/2021,1:13:55 PM,2676,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
7/5/2021,1:14:00 PM,2691,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
7/5/2021,1:14:05 PM,2706,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
7/5/2021,1:14:10 PM,2726,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
7/5/2021,1:14:15 PM,2736,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
7/5/2021,1:14:20 PM,2756,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
7/5/2021,1:14:25 PM,2766,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
7/5/2021,1:14:30 PM,2781,1,Starting above Antenas,2,NA,NA,NA,1325,NA,
