"","x_pred","x","d","w","ele_arcpro","dist_diff","slope_mid","slope_up","catchment_ha","site"
"234",882.3762511,966,23,143,3906.084717,NA,NA,NA,190.3257,"Colm"
"235",885.8986514,970,10,161,3906.084717,10,0.018515554,0,190.395,"Colm"
"236",894.7046521,980,25,112,3905.769775,10,0.103231595,0.018515554,190.3986,"Colm"
"237",903.5106529,990,24,121,3904.266602,10,0.194624898,0.103231595,190.4139,"Colm"
"238",912.3166536,1000,22,100,3902.342041,10,0.174797247,0.194624898,190.4778,"Colm"
"239",913.3506604,1001,NA,NA,3902.342041,NA,NA,NA,190.4778,"Colm"
"240",922.656721,1010,NA,NA,3900.919922,NA,0.133166734,0.174797247,190.5786,"Colm"
"241",932.9967884,1020,85,NA,3899.588135,NA,0.093168062,0.133166734,190.6515,"Colm"
"242",934.0240138,1021,85,250,3899.588135,11,NA,NA,190.6515,"Colm"
"243",943.2690419,1030,22,380,3898.999512,10,0.047688514,0.093168062,190.9134,"Colm"
"244",953.5412953,1040,NA,800,3898.608398,NA,0.017180872,0.047688514,193.1877,"Colm"
"245",956.5147518,NA,NA,NA,3898.608398,NA,NA,NA,193.3002,"Colm"
"246",958.6774221,1045,NA,1000,3898.608398,NA,NA,NA,193.3578,"Colm"
"247",966.0335442,1050,NA,1000,3898.608398,NA,0,0.017180872,193.3992,"Colm"
"248",975.6167674,1060,100,600,3898.608398,10,0,0,193.617,"Colm"
"249",985.1999907,1070,11,400,3898.608398,10,0,0,193.716,"Colm"
"250",994.7832139,1080,50,600,3898.608398,10,0,0,193.7835,"Colm"
"251",1003.408115,1089,NA,NA,3898.608398,NA,NA,NA,193.806,"Colm"
"252",1004.366437,1090,48,50,3898.608398,10,0,0,193.806,"Colm"
"253",1006.283082,1092,18,140,3898.608398,NA,NA,NA,193.8078,"Colm"
"254",1013.099867,1100,11,138,3898.608398,10,0,0,193.8087,"Colm"
"255",1017.3552,1104,NA,NA,3898.608398,NA,NA,NA,193.8105,"Colm"
